config,algo,property,value,percentage_best,best_sizePerConfiguration_len,best_sizePerConfiguration_mean,best_sizePerConfiguration_median,best_sizePerConfiguration_stdev,notbest_sizePerConfiguration_len,notbest_sizePerConfiguration_mean,notbest_sizePerConfiguration_median,notbest_sizePerConfiguration_stdev,sizePerConfiguration_Mann-Whitney_U_stat,sizePerConfiguration_Mann-Whitney_U_p
CompleteGumtreeMatcher-GT_BUM_SZT-300,CompleteGumtreeMatcher,GT_BUM_SZT,300,0.2386500828683078,313906,152.98548928660173,150.0,84.37730632350315,1001434,1677.008806371663,857.0,3022.1296592518534,11592794437.0,0.00000
CompleteGumtreeMatcher-GT_BUM_SZT-400,CompleteGumtreeMatcher,GT_BUM_SZT,400,0.29783916121134707,391727,192.10685247634194,183.0,109.78918370583642,923503,1788.9996123456015,949.0,3121.3377597570493,19658641420.5,0.00000
CompleteGumtreeMatcher-GT_BUM_SZT-500,CompleteGumtreeMatcher,GT_BUM_SZT,500,0.3430762678996479,451135,226.05340751659702,210.0,134.85050041218935,863835,1881.5006523236498,1022.0,3206.746131954506,27594458217.5,0.00000
CompleteGumtreeMatcher-GT_BUM_SZT-600,CompleteGumtreeMatcher,GT_BUM_SZT,600,0.38154832527151594,501675,258.7431703792296,234.0,161.2151707206287,813165,1964.4366887409074,1096.0,3287.349189180683,35681921157.5,0.00000
CompleteGumtreeMatcher-GT_BUM_SZT-700,CompleteGumtreeMatcher,GT_BUM_SZT,700,0.4121703869387258,541765,287.8412854281838,254.0,186.38328929880245,772655,2033.2485468935035,1159.0,3358.2960536543696,43019168007.5,0.00000
CompleteGumtreeMatcher-GT_BUM_SZT-800,CompleteGumtreeMatcher,GT_BUM_SZT,800,0.43925832369590356,577326,316.2936694346002,273.0,212.1271275417771,736994,2095.354264756565,1221.0,3426.4044504648537,50194870357.0,0.00000
CompleteGumtreeMatcher-GT_BUM_SZT-900,CompleteGumtreeMatcher,GT_BUM_SZT,900,0.46197618232317467,607106,342.5708805381597,290.0,237.10869298160281,707044,2148.022602553731,1278.0,3488.4467732569133,56713078227.0,0.00000
CompleteGumtreeMatcher-GT_BUM_SZT-1000,CompleteGumtreeMatcher,GT_BUM_SZT,1000,0.48197293924266404,633351,367.82121130305313,306.0,262.0677787961845,680729,2194.25854929054,1328.0,3547.1416585553993,62850714514.5,0.00000
CompleteGumtreeMatcher-GT_BUM_SZT-1100,CompleteGumtreeMatcher,GT_BUM_SZT,1100,0.49911793357484247,655821,391.31424275831364,318.0,286.228728565715,658139,2233.4156644720947,1378.0,3601.088652135653,68423882629.5,0.00000
CompleteGumtreeMatcher-GT_BUM_SZT-1200,CompleteGumtreeMatcher,GT_BUM_SZT,1200,0.5142644036836898,675692,413.6218706156059,331.0,309.79275795346615,638208,2267.25346752156,1424.0,3651.7091983500313,73573538048.0,0.00000
CompleteGumtreeMatcher-GT_BUM_SZT-1300,CompleteGumtreeMatcher,GT_BUM_SZT,1300,0.5269121575850757,692273,433.72070989335134,341.0,331.89627900402763,621557,2294.4311672139484,1467.0,3696.4686519008055,78047472800.5,0.00000
CompleteGumtreeMatcher-GT_BUM_SZT-1400,CompleteGumtreeMatcher,GT_BUM_SZT,1400,0.5377477696921719,706450,452.14401443838915,349.0,352.9092740588031,607270,2316.6056465822453,1502.0,3736.8332813603047,82003006260.0,0.00000
CompleteGumtreeMatcher-GT_BUM_SZT-1500,CompleteGumtreeMatcher,GT_BUM_SZT,1500,0.5475292725873382,719235,469.9275424583064,358.0,373.9265514933605,594366,2335.360397465535,1535.0,3774.9859581986493,85676202601.0,0.00000
CompleteGumtreeMatcher-GT_BUM_SZT-1600,CompleteGumtreeMatcher,GT_BUM_SZT,1600,0.5564607361729664,730939,487.27087075665685,365.0,395.08381668708984,582611,2351.1482052347105,1506.0,3811.2211006009798,89119831074.5,0.00000
CompleteGumtreeMatcher-GT_BUM_SZT-1700,CompleteGumtreeMatcher,GT_BUM_SZT,1700,0.5638453866475823,740594,502.4708031661072,372.0,414.19692360541893,572876,2363.0095832256893,1439.0,3842.3696170774956,92024321512.0,0.00000
CompleteGumtreeMatcher-GT_BUM_SZT-1800,CompleteGumtreeMatcher,GT_BUM_SZT,1800,0.5711000966933906,750100,518.2931009198774,378.0,434.62857740261865,563330,2373.3821827348092,1380.0,3873.953121826384,94942286100.0,0.00000
CompleteGumtreeMatcher-GT_BUM_SZT-1900,CompleteGumtreeMatcher,GT_BUM_SZT,1900,0.5779764125444454,759120,534.1256244072083,385.0,455.5380394908858,554290,2381.905890418373,1328.0,3904.834091499173,97759054380.0,0.00000
CompleteGumtreeMatcher-GT_BUM_SZT-2000,CompleteGumtreeMatcher,GT_BUM_SZT,2000,0.584852707157922,768128,550.7261406953007,391.0,477.824224855488,545242,2389.0777507968937,1280.0,3936.6979544073097,100614499263.0,0.00000
CompleteGumtreeMatcher-GT_BUM_SMT-0.2,CompleteGumtreeMatcher,GT_BUM_SMT,0.2,0.43286996351628454,1137829,398.3002665602652,288.0,351.1028412228681,1490741,2012.4430937366049,1101.0,3434.552882169051,308392368199.0,0.00000
CompleteGumtreeMatcher-GT_BUM_SMT-0.3,CompleteGumtreeMatcher,GT_BUM_SMT,0.3,0.43488550808995,1143127,398.30914062916895,288.0,349.62585204867565,1485443,2018.1932871204078,1106.0,3439.371883678059,307128639797.0,0.00000
CompleteGumtreeMatcher-GT_BUM_SMT-0.4,CompleteGumtreeMatcher,GT_BUM_SMT,0.4,0.43713425931209743,1149038,398.70589049274264,289.0,349.6528981338428,1479532,2024.3568946126206,1111.0,3444.780506365323,306198695292.0,0.00000
CompleteGumtreeMatcher-GT_BUM_SMT-0.5,CompleteGumtreeMatcher,GT_BUM_SMT,0.5,0.4392171408788809,1154513,399.10108764474717,289.0,349.87063480649095,1474057,2030.085424105038,1115.0,3449.8075444015544,305244585934.5,0.00000
CompleteGumtreeMatcher-GT_BUM_SMT-0.6,CompleteGumtreeMatcher,GT_BUM_SMT,0.6,0.4405030111429408,1157893,399.391876451451,289.0,349.94861992548925,1470677,2033.6049084877236,1118.0,3452.943749947385,304837456298.0,0.00000
CompleteGumtreeMatcher-GT_BUM_SMT-0.7,CompleteGumtreeMatcher,GT_BUM_SMT,0.7,0.4416835009149461,1160996,399.5933801666845,290.0,350.0119380455326,1467574,2036.9008363462422,1121.0,3455.8065949887355,304300828315.5,0.00000
CompleteGumtreeMatcher-GT_BUM_SMT-0.8,CompleteGumtreeMatcher,GT_BUM_SMT,0.8,0.44286382220605797,1164099,399.9932041862419,290.0,350.2063149744581,1464472,2040.0509391780793,1124.0,3458.7397816282305,304105610778.5,0.00000
CompleteGumtreeMatcher-GT_BUM_SMT-0.9,CompleteGumtreeMatcher,GT_BUM_SMT,0.9,0.44354801279783307,1165897,400.239535739435,290.0,350.2896644968883,1462673,2041.8719358325477,1125.0,3460.45213818014,304066971072.5,0.00000
CompleteGumtreeMatcher-GT_BUM_SMT-1,CompleteGumtreeMatcher,GT_BUM_SMT,1,0.44373366507264406,1166385,400.3605824834853,291.0,350.3386056253686,1462185,2042.3232668916723,1126.0,3460.935510638694,304158799031.0,0.00000
XyMatcher-GT_STM_MH-1,XyMatcher,GT_STM_MH,1,0.29518295402151157,39053,1278.1152280234553,547.0,2261.1454320984553,93248,1341.7145783287576,594.0,2914.0634086056307,1751027392.0,0.00000
XyMatcher-GT_XYM_SIM-0.2,XyMatcher,GT_XYM_SIM,0.2,0.0907614823723972,12074,1299.8953950637733,558.0,2303.515935214175,120956,1322.4210456694996,580.0,2775.5442706500125,717449521.5,0.00076
XyMatcher-GT_STM_MH-2,XyMatcher,GT_STM_MH,2,0.0007072987208427389,94,282.24468085106383,56.0,547.2083145270468,132806,1323.8296763700434,581.0,2739.324895852362,2219012.0,0.00000
XyMatcher-GT_STM_MH-3,XyMatcher,GT_STM_MH,3,0.00015048908954100828,20,12,1.0,19.547512966050046,132880,1323.2902995183624,580.0,2738.6930565939037,16837.5,0.00000
XyMatcher-GT_STM_MH-4,XyMatcher,GT_STM_MH,4,0.00015034767900770532,20,12,1.0,19.547512966050046,133005,1322.0516521935265,579.0,2737.70370328567,17462.5,0.00000
XyMatcher-GT_STM_MH-5,XyMatcher,GT_STM_MH,5,0.0001490757304710793,20,12,1.0,19.547512966050046,134140,1311.4185179663039,572.0,2728.5408070357475,21175.0,0.00000
XyMatcher-GT_XYM_SIM-0.4,XyMatcher,GT_XYM_SIM,0.4,0.08092850538596268,10766,1289.349433401449,556.0,2256.010088601751,122265,1323.0990635095898,580.0,2774.3414740684852,645388287.0,0.00042
XyMatcher-GT_XYM_SIM-0.6,XyMatcher,GT_XYM_SIM,0.6,0.06300550227006224,8382,1297.228107850155,559.0,2296.2355079385143,124654,1321.9266289088196,579.0,2763.078329174172,514267995.5,0.00827
XyMatcher-GT_XYM_SIM-0.8,XyMatcher,GT_XYM_SIM,0.8,0.043182501503307276,5745,1260.389730200174,540.0,2188.576706303032,127295,1323.0944420440708,580.0,2758.1129072330127,354215425.5,0.00003
XyMatcher-GT_XYM_SIM-1,XyMatcher,GT_XYM_SIM,1,0.016823258154398456,2240,1004.9584821428572,356.0,2021.3261944207272,130909,1326.0087847283228,582.0,2746.8560775905703,118171521.5,0.00000
SimpleGumtree-GT_BUM_SMT_SBUP-0.1,SimpleGumtree,GT_BUM_SMT_SBUP,0.1,0.456686291000841,60816,1286.1488752959747,552.0,2477.6909760011395,72352,1364.2773938522778,605.0,2949.2849978455843,2121895882.0,0.00000
SimpleGumtree-GT_STM_MH-1,SimpleGumtree,GT_STM_MH,1,0.696272028920018,92451,1316.9442407329288,564.0,2913.891237159742,40329,1352.8969971980462,616.0,2302.0349494315337,1784799287.0,0.00000
SimpleGumtree-GT_BUM_SMT_SBUP-0.3,SimpleGumtree,GT_BUM_SMT_SBUP,0.3,0.4566787816892947,60815,1286.1699087396203,552.0,2477.705917403702,72353,1364.2586347490774,605.0,2949.268932820838,2121956560.0,0.00000
SimpleGumtree-GT_BUM_SMT_SBUP-0.5,SimpleGumtree,GT_BUM_SMT_SBUP,0.5,0.4566787816892947,60815,1286.1699087396203,552.0,2477.705917403702,72353,1364.2586347490774,605.0,2949.268932820838,2121956560.0,0.00000
SimpleGumtree-GT_BUM_SMT_SBUP-0.7,SimpleGumtree,GT_BUM_SMT_SBUP,0.7,0.4566787816892947,60815,1286.1699087396203,552.0,2477.705917403702,72353,1364.2586347490774,605.0,2949.268932820838,2121956560.0,0.00000
SimpleGumtree-GT_BUM_SMT_SBUP-0.9,SimpleGumtree,GT_BUM_SMT_SBUP,0.9,0.4566787816892947,60815,1286.1699087396203,552.0,2477.705917403702,72353,1364.2586347490774,605.0,2949.268932820838,2121956560.0,0.00000
SimpleGumtree-GT_STM_MH-2,SimpleGumtree,GT_STM_MH,2,0.5396127091558564,71755,1273.0089192390774,550.0,2261.879766192401,61220,1392.9575302188828,618.0,3213.739455701936,2079564500.0,0.00000
SimpleGumtree-GT_STM_MH-3,SimpleGumtree,GT_STM_MH,3,0.4208946262383669,56080,1269.238676890157,545.0,2268.9166304369796,77160,1372.1767755313633,609.5,3045.611668843006,2067399300.0,0.00000
SimpleGumtree-GT_STM_MH-4,SimpleGumtree,GT_STM_MH,4,0.34314313563769966,45765,1264.1214902217853,544.0,2244.048524511582,87605,1362.5552194509446,603.0,2972.759419228263,1928030512.5,0.00000
SimpleGumtree-GT_STM_MH-5,SimpleGumtree,GT_STM_MH,5,0.28488480988949244,38025,1287.6562787639712,564.0,2266.531152353707,95450,1345.8288632792037,588.0,2914.333626246379,1794291175.0,0.00064
