config,algo,property,value,percentage_best,best_timesPerConfiguration_len,best_timesPerConfiguration_mean,best_timesPerConfiguration_median,best_timesPerConfiguration_stdev,notbest_timesPerConfiguration_len,notbest_timesPerConfiguration_mean,notbest_timesPerConfiguration_median,notbest_timesPerConfiguration_stdev,timesPerConfiguration_Mann-Whitney_U_stat,timesPerConfiguration_Mann-Whitney_U_p
ClassicGumtree-GT_BUM_SMT-0.3,ClassicGumtree,GT_BUM_SMT,0.3,0.5588546626942456,1463485,564.6931789529787,144.0,1097.7815281555243,1155237,300.432411704265,31.0,891.2153953977377,576165607439.0,0.00000
ClassicGumtree-GT_BUM_SMT-0.4,ClassicGumtree,GT_BUM_SMT,0.4,0.5553417107053406,1454285,560.4764822576043,141.0,1092.1937902905688,1164436,296.4558833632763,27.0,888.4077730858518,569254917186.5,0.00000
ClassicGumtree-GT_BUM_SMT-0.5,ClassicGumtree,GT_BUM_SMT,0.5,0.5514388316132831,1444065,553.5966095708989,136.0,1087.2938067484863,1174657,290.0476539108863,23.0,881.7441833848887,559651730566.0,0.00000
ClassicGumtree-GT_BUM_SMT-0.6,ClassicGumtree,GT_BUM_SMT,0.6,0.5463254772081486,1430674,541.4587767723465,128.0,1071.7836817096306,1188047,278.0741266970078,18.0,876.3755600960195,543269803580.0,0.00000
ClassicGumtree-GT_BUM_SMT-0.7,ClassicGumtree,GT_BUM_SMT,0.7,0.5400800313740705,1414320,522.0648120651621,119.0,1054.492237535031,1204403,257.5552975208464,13.0,852.6617946383536,517350678000.0,0.00000
ClassicGumtree-GT_BUM_SMT-0.8,ClassicGumtree,GT_BUM_SMT,0.8,0.5320379436847654,1393260,488.7296656761839,108.0,1015.2084579936976,1225463,223.292797089753,8.0,798.3232477766068,478683186599.5,0.00000
ClassicGumtree-GT_BUM_SMT-0.9,ClassicGumtree,GT_BUM_SMT,0.9,0.5179682986278573,1356430,430.08607152599103,96.0,921.9530825329194,1262321,165.40435039898728,6.0,673.9746010755031,421922188326.0,0.00000
ClassicGumtree-GT_BUM_SMT-1,ClassicGumtree,GT_BUM_SMT,1,0.49245709194449716,1290047,286.022486002448,81.0,537.0823559606698,1329566,86.28366925748703,5.0,333.0672226953441,354651505300.0,0.00000
CompleteGumtreeMatcher-GT_BUM_SMT-0.1,CompleteGumtreeMatcher,GT_BUM_SMT,0.1,0.4306451796984672,1131981,301.3691811081635,75.0,619.5343976213422,1496589,169.8339463941002,8.0,563.249965115858,507142794074.0,0.00000
CompleteGumtreeMatcher-GT_BUM_SZT-100,CompleteGumtreeMatcher,GT_BUM_SZT,100,0.07469916129816458,98328,4.6350174924741685,3.0,18.55134783544416,1217992,5.127605107422709,1.0,73.78237662268035,44005725610.0,0.00000
CompleteGumtreeMatcher-GT_STM_MH-1,CompleteGumtreeMatcher,GT_STM_MH,1,0.36037751665066375,1891636,280.03685804245634,66.0,582.8564688785566,3357404,193.1745545069941,10.0,588.8799730299957,2114028023155.5,0.00000
CompleteGumtreeMatcher-GT_STM_MH-2,CompleteGumtreeMatcher,GT_STM_MH,2,0.4373708205240466,2297662,299.8658666940568,74.0,620.8501681377372,2955688,156.94437606405006,7.0,522.615972705974,1917961293686.5,0.00000
CompleteGumtreeMatcher-GT_STM_MH-3,CompleteGumtreeMatcher,GT_STM_MH,3,0.45660159577704756,2401213,300.5463422028783,76.0,617.6319979044914,2857667,140.249072057731,6.0,480.78494808565796,1790133739808.5,0.00000
CompleteGumtreeMatcher-GT_STM_MH-4,CompleteGumtreeMatcher,GT_STM_MH,4,0.4669248519315426,2456529,299.49992815065485,78.0,606.7832806143183,2804551,128.56235846664939,5.0,456.9184186693471,1701226572282.5,0.00000
CompleteGumtreeMatcher-GT_STM_MH-5,CompleteGumtreeMatcher,GT_STM_MH,5,0.4720790994178424,2484718,298.03125465344556,79.0,594.2846489745299,2778633,120.59342741556729,5.0,440.27787679208313,1655744913639.5,0.00000
CompleteGumtreeMatcher-GT_BUM_SZT-200,CompleteGumtreeMatcher,GT_BUM_SZT,200,0.1649860540055784,217087,15.980675950195083,10.0,27.253705298562675,1098703,7.666983707152888,2.0,78.78178642586182,57486289672.0,0.00000
CompleteGumtreeMatcher-GT_BUM_SZT-300,CompleteGumtreeMatcher,GT_BUM_SZT,300,0.2386500828683078,313906,31.036619242703228,19.0,54.692758383545176,1001434,12.145301637451894,2.0,86.73879553942946,68868235798.0,0.00000
CompleteGumtreeMatcher-GT_BUM_SZT-400,CompleteGumtreeMatcher,GT_BUM_SZT,400,0.29783916121134707,391727,49.964597793871754,29.0,70.56586815647417,923503,19.2223728563957,3.0,99.41969822277588,79993242174.0,0.00000
CompleteGumtreeMatcher-GT_BUM_SZT-500,CompleteGumtreeMatcher,GT_BUM_SZT,500,0.3430762678996479,451135,70.60034136123333,38.0,99.1345118827881,863835,28.976857849010518,4.0,120.5640607696222,90489129757.5,0.00000
CompleteGumtreeMatcher-GT_BUM_SZT-600,CompleteGumtreeMatcher,GT_BUM_SZT,600,0.38154832527151594,501675,94.90437235261872,48.0,131.10069231659233,813165,42.18821641364299,4.0,147.68404657658962,100810138461.0,0.00000
CompleteGumtreeMatcher-GT_BUM_SZT-700,CompleteGumtreeMatcher,GT_BUM_SZT,700,0.4121703869387258,541765,120.99288436868383,57.0,171.09040688824788,772655,58.91353450116805,5.0,184.58074361822372,110381520164.0,0.00000
CompleteGumtreeMatcher-GT_BUM_SZT-800,CompleteGumtreeMatcher,GT_BUM_SZT,800,0.43925832369590356,577326,149.78322819342972,66.0,214.1460044995781,736994,77.5208834807339,6.0,222.0230828050843,118164357277.0,0.00000
CompleteGumtreeMatcher-GT_BUM_SZT-900,CompleteGumtreeMatcher,GT_BUM_SZT,900,0.46197618232317467,607106,180.01529881108075,75.0,266.351714373752,707044,99.61147962503041,8.0,260.8975917796469,126085011617.0,0.00000
CompleteGumtreeMatcher-GT_BUM_SZT-1000,CompleteGumtreeMatcher,GT_BUM_SZT,1000,0.48197293924266404,633351,211.99863109081693,83.0,318.4822377866705,680729,124.71288133750728,9.0,312.99470256470556,132841735488.0,0.00000
CompleteGumtreeMatcher-GT_BUM_SZT-1100,CompleteGumtreeMatcher,GT_BUM_SZT,1100,0.49911793357484247,655821,244.86707196018426,91.0,372.75180801568774,658139,154.4192792100149,11.0,376.92304814482844,139401779053.0,0.00000
CompleteGumtreeMatcher-GT_BUM_SZT-1200,CompleteGumtreeMatcher,GT_BUM_SZT,1200,0.5142644036836898,675692,278.2215284478727,99.0,427.3117437240405,638208,184.5146927020658,13.0,424.1271572137582,145282544673.0,0.00000
CompleteGumtreeMatcher-GT_BUM_SZT-1300,CompleteGumtreeMatcher,GT_BUM_SZT,1300,0.5269121575850757,692273,310.90815761989853,105.0,488.6639555694147,621557,218.2897240317461,16.0,496.0270877326818,150559936318.5,0.00000
CompleteGumtreeMatcher-GT_BUM_SZT-1400,CompleteGumtreeMatcher,GT_BUM_SZT,1400,0.5377477696921719,706450,346.05167386226907,111.0,572.023535507556,607270,252.47816951273734,19.0,566.2910636889603,155089753906.5,0.00000
CompleteGumtreeMatcher-GT_BUM_SZT-1500,CompleteGumtreeMatcher,GT_BUM_SZT,1500,0.5475292725873382,719235,379.86118167219337,116.0,637.1277918774742,594366,288.045068190307,22.0,636.5748178745713,159132149356.5,0.00000
CompleteGumtreeMatcher-GT_BUM_SZT-1600,CompleteGumtreeMatcher,GT_BUM_SZT,1600,0.5564607361729664,730939,415.81465211187253,122.0,708.0863922327435,582611,329.3923612839442,26.0,725.5063108805604,162940063861.5,0.00000
CompleteGumtreeMatcher-GT_BUM_SZT-1700,CompleteGumtreeMatcher,GT_BUM_SZT,1700,0.5638453866475823,740594,450.01150697953267,126.0,785.2298677426787,572876,374.20708669939046,31.0,840.5944926456203,166527707421.0,0.00000
CompleteGumtreeMatcher-GT_BUM_SZT-1800,CompleteGumtreeMatcher,GT_BUM_SZT,1800,0.5711000966933906,750100,483.2722903612852,130.0,850.9722456175539,563330,418.5414890028935,37.0,930.3097125592017,169781458582.0,0.00000
